Comuna;Mes;Q
1;09/17;6
1;10/17;6
1;11/17;7
1;12/17;4
1;01/18;4
1;02/18;3
1;03/18;7
1;04/18;7
1;05/18;10
1;06/18;3
1;07/18;9
1;08/18;9
1;09/18;5
1;10/18;8
1;11/18;10
1;12/18;5
1;01/19;7
1;02/19;9
1;03/19;6
1;04/19;5
1;05/19;6
1;06/19;10
1;07/19;7
1;08/19;8
1;09/19;5
1;10/19;3
1;11/19;8
1;12/19;9
2;09/17;4
2;10/17;5
2;11/17;2
2;12/17;5
2;01/18;2
2;02/18;2
2;03/18;1
2;04/18;4
2;05/18;3
2;06/18;3
2;07/18;8
2;08/18;6
2;09/18;1
2;10/18;4
2;11/18;10
2;12/18;1
2;01/19;5
2;02/19;5
2;03/19;5
2;04/19;2
2;05/19;2
2;06/19;6
2;07/19;3
2;08/19;3
2;09/19;2
2;10/19;3
2;11/19;6
2;12/19;2
3;09/17;5
3;10/17;3
3;11/17;7
3;12/17;3
3;01/18;4
3;02/18;3
3;03/18;5
3;04/18;2
3;05/18;7
3;06/18;7
3;07/18;4
3;08/18;5
3;09/18;1
3;10/18;7
3;11/18;7
3;12/18;10
3;01/19;8
3;02/19;2
3;03/19;6
3;04/19;8
3;05/19;5
3;06/19;8
3;07/19;6
3;08/19;7
3;09/19;5
3;10/19;4
3;11/19;3
3;12/19;8
4;09/17;6
4;10/17;6
4;11/17;10
4;12/17;4
4;01/18;6
4;02/18;4
4;03/18;13
4;04/18;5
4;05/18;5
4;06/18;5
4;07/18;6
4;08/18;10
4;09/18;6
4;10/18;13
4;11/18;10
4;12/18;8
4;01/19;10
4;02/19;7
4;03/19;3
4;04/19;5
4;05/19;6
4;06/19;9
4;07/19;4
4;08/19;15
4;09/19;8
4;10/19;7
4;11/19;6
4;12/19;14
5;09/17;13
5;10/17;12
5;11/17;8
5;12/17;6
5;01/18;6
5;02/18;4
5;03/18;6
5;04/18;8
5;05/18;6
5;06/18;17
5;07/18;12
5;08/18;9
5;09/18;8
5;10/18;16
5;11/18;13
5;12/18;14
5;01/19;8
5;02/19;5
5;03/19;4
5;04/19;8
5;05/19;8
5;06/19;7
5;07/19;6
5;08/19;10
5;09/19;7
5;10/19;11
5;11/19;8
5;12/19;7
6;09/17;13
6;10/17;4
6;11/17;8
6;12/17;15
6;01/18;11
6;02/18;7
6;03/18;15
6;04/18;14
6;05/18;10
6;06/18;16
6;07/18;11
6;08/18;8
6;09/18;7
6;10/18;21
6;11/18;22
6;12/18;14
6;01/19;18
6;02/19;9
6;03/19;14
6;04/19;13
6;05/19;13
6;06/19;13
6;07/19;6
6;08/19;15
6;09/19;9
6;10/19;14
6;11/19;9
6;12/19;12
7;09/17;11
7;10/17;13
7;11/17;7
7;12/17;14
7;01/18;6
