Comunas;Zona;Mes-Año;M2
1;Centro;09/17;26034
1;Centro;10/17;15059
1;Centro;11/17;125467
1;Centro;12/17;66371
1;Centro;01/18;65854
1;Centro;02/18;49897
1;Centro;03/18;19840
1;Centro;04/18;12666
1;Centro;05/18;119034
1;Centro;06/18;6733
1;Centro;07/18;60385
1;Centro;08/18;162377
1;Centro;09/18;12590
1;Centro;10/18;5138
1;Centro;11/18;7942
1;Centro;12/18;10338
1;Centro;01/19;29183
1;Centro;02/19;11715
1;Centro;03/19;10483
1;Centro;04/19;16000
1;Centro;05/19;12179
1;Centro;06/19;86406
1;Centro;07/19;61157
1;Centro;08/19;7008
1;Centro;09/19;1281
1;Centro;10/19;1442
1;Centro;11/19;45775
1;Centro;12/19;12865
2;Norte;09/17;2895
2;Norte;10/17;10543
2;Norte;11/17;12092
2;Norte;12/17;11082
2;Norte;01/18;14046
2;Norte;02/18;16849
2;Norte;03/18;
2;Norte;04/18;7255
2;Norte;05/18;14873
2;Norte;06/18;2747
2;Norte;07/18;39375
2;Norte;08/18;15388
2;Norte;09/18;1007
2;Norte;10/18;10671
2;Norte;11/18;7172
2;Norte;12/18;1590
2;Norte;01/19;10290
2;Norte;02/19;5882
2;Norte;03/19;138840
2;Norte;04/19;7252
2;Norte;05/19;8854
2;Norte;06/19;5112
2;Norte;07/19;15181
2;Norte;08/19;2347
2;Norte;09/19;131
2;Norte;10/19;2479
2;Norte;11/19;7162
2;Norte;12/19;9137
3;Centro;09/17;8785
3;Centro;10/17;3710
3;Centro;11/17;13121
3;Centro;12/17;11262
3;Centro;01/18;8936
3;Centro;02/18;7130
3;Centro;03/18;32575
3;Centro;04/18;2865
3;Centro;05/18;27218
3;Centro;06/18;7070
3;Centro;07/18;8374
3;Centro;08/18;6681
3;Centro;09/18;1382
3;Centro;10/18;9145
3;Centro;11/18;4967
3;Centro;12/18;30939
3;Centro;01/19;28578
3;Centro;02/19;
3;Centro;03/19;8488
3;Centro;04/19;9445
3;Centro;05/19;11245
3;Centro;06/19;13044
3;Centro;07/19;37142
3;Centro;08/19;3270
3;Centro;09/19;3796
3;Centro;10/19;3355
3;Centro;11/19;682
3;Centro;12/19;13075
4;SUR;09/17;5837
4;SUR;10/17;15635
4;SUR;11/17;36480
4;SUR;12/17;27383
4;SUR;01/18;16881
4;SUR;02/18;3998
4;SUR;03/18;26744
4;SUR;04/18;4775
4;SUR;05/18;21776
4;SUR;06/18;7776
4;SUR;07/18;45969
4;SUR;08/18;16562
4;SUR;09/18;33713
4;SUR;10/18;27794
4;SUR;11/18;79256
4;SUR;12/18;6924
4;SUR;01/19;17015
4;SUR;02/19;5658
4;SUR;03/19;6735
4;SUR;04/19;13194
4;SUR;05/19;3777
4;SUR;06/19;2318
4;SUR;07/19;9361
4;SUR;08/19;11711
4;SUR;09/19;6018
4;SUR;10/19;12149
4;SUR;11/19;2578
4;SUR;12/19;18993
5;Centro;09/17;29526
5;Centro;10/17;35376
5;Centro;11/17;16118
5;Centro;12/17;10569
5;Centro;01/18;11147
5;Centro;02/18;6088
5;Centro;03/18;10137
