Seccion;Manzana;Parcela;SMP;Expediente;Nomenclacion par;Fecha de registro;Direccion;Comuna 1;Codigo postal;Codigo postal argentino;Tipo obra;Superficie (m2);Direccion normalizada;Lon;Lat;Calle;Altura;Barrio;Comuna;
83;118;21;083-118-021;12580708/18;1-15-83-118-21;2019-03-14;;;;;Obra Menor;124.55;;;;;;;;
 ; ; ; - - ;57323/17;;2018-06-05;LIBERTADOR 5956/60;Comuna 13;1428;C1428ARP;Obra Mayor;3740.93;DEL LIBERTADOR AV. 5956;-58.44746842;-34.55713944;DEL LIBERTADOR AV.;5956;Belgrano;13;
47;174;016a;047-174-016a;26140424/17;15-47-174-16a;2017-11-21;.CORRIENRES 5448/52;Comuna 15;1414;C1414AJU;Obra Mayor;8467.87;CORRIENTES AV. 5448;-58.44124734;-34.5977231;CORRIENTES AV.;5448;Villa Crespo;15;
27;71;013d;027-071-013d;15896369/18;16-27-71-13d;2018-11-28;11 DE SEPT. 2841/55;Comuna 13;1429;C1429BIA;Obra Mayor;6059;11 DE SEPTIEMBRE DE 1888 2841;-58.45674619;-34.55187918;11 DE SEPTIEMBRE DE 1888;2841;Nuñez;13;
 ; ; ; - - ;9429862/18;;2018-06-19;11 DE SEPT. 2866/70;Comuna 13;1429;C1429BIB;Obra Media;1905.2;11 DE SEPTIEMBRE DE 1888 2866;-58.45707608;-34.55162545;11 DE SEPTIEMBRE DE 1888;2866;Nuñez;13;
29;84A;1;029-84A-001;22333384/16;16-29-84A-1;2017-10-11;11 DE SEPT. 4148;Comuna 13;1429;C1429BJB;Obra Menor;394.67;11 DE SEPTIEMBRE DE 1888 4148;-58.46443185;-34.54158478;11 DE SEPTIEMBRE DE 1888;4148;Nuñez;13;
27;61;29;027-061-029;12277222/18;16-27-61-29;2018-10-19;11 DE SEPT.2930;Comuna 13;1429;C1429BID;Obra Media;1380.12;11 DE SEPTIEMBRE DE 1888 2930;-58.45760016;-34.55090273;11 DE SEPTIEMBRE DE 1888;2930;Nuñez;13;
29;79;22;029-079-022;17214415/15;16-29-79-22;2017-12-22;11 DE SEPT.3622;Comuna 13;1429;C1429BIR;Obra Media;627.4;11 DE SEPTIEMBRE DE 1888 3622;-58.46164149;-34.54534489;11 DE SEPTIEMBRE DE 1888;3622;Nuñez;13;
29;84b;21;029-84b-021;34915804/18;16-29-84b-21;2019-05-21;11 DE SEPT.4176;Comuna 13;1429;C1429BJB;Obra Menor;260.72;11 DE SEPTIEMBRE DE 1888 4176;-58.4645743;-34.54139056;11 DE SEPTIEMBRE DE 1888;4176;Nuñez;13;
29;82A;12;029-82A-12;23557479/17;16-29-82A-12,13,14;2018-07-13;11 DE SEPTIEM.3966/74;Comuna 13;1429;C1429BIX;Obra Media;2381.05;11 DE SEPTIEMBRE DE 1888 3966;-58.46333545;-34.5430644;11 DE SEPTIEMBRE DE 1888;3966;Nuñez;13;
